,Date,Open,High,Low,Close
759,02/16/2016,1871.44,1895.77,1871.44,1895.58
760,02/17/2016,1898.80,1930.68,1898.80,1926.82
761,02/18/2016,1927.57,1930.00,1915.09,1917.83
762,02/19/2016,1916.74,1918.78,1902.17,1917.78
763,02/22/2016,1924.44,1946.70,1924.44,1945.50
764,02/23/2016,1942.38,1942.38,1919.44,1921.27
765,02/24/2016,1917.56,1932.08,1891.00,1929.80
766,02/25/2016,1931.87,1951.83,1925.41,1951.70
767,02/26/2016,1954.95,1962.96,1945.78,1948.05
768,02/29/2016,1947.13,1958.27,1931.81,1932.23
769,03/01/2016,1937.09,1978.35,1937.09,1978.35
770,03/02/2016,1976.60,1986.51,1968.80,1986.45
771,03/03/2016,1985.60,1993.69,1977.37,1993.40
772,03/04/2016,1994.01,2009.13,1986.77,1999.99
773,03/07/2016,1996.11,2006.12,1989.38,2001.76
774,03/08/2016,1996.88,1996.88,1977.43,1979.26
775,03/09/2016,1981.44,1992.69,1979.84,1989.26
776,03/10/2016,1990.97,2005.08,1969.25,1989.57
777,03/11/2016,1994.71,2022.37,1994.71,2022.19
778,03/14/2016,2019.27,2024.57,2012.05,2019.64
779,03/15/2016,2015.27,2015.94,2005.23,2015.93
780,03/16/2016,2014.24,2032.02,2010.04,2027.22
781,03/17/2016,2026.90,2046.24,2022.16,2040.59
782,03/18/2016,2041.16,2052.36,2041.16,2049.58
783,03/21/2016,2047.88,2053.91,2043.14,2051.60
784,03/22/2016,2048.64,2056.60,2040.57,2049.80
785,03/23/2016,2048.55,2048.55,2034.86,2036.71
786,03/24/2016,2032.48,2036.04,2022.49,2035.94
787,03/28/2016,2037.89,2042.67,2031.96,2037.05
788,03/29/2016,2035.75,2055.91,2028.31,2055.01
789,03/30/2016,2058.27,2072.21,2058.27,2063.95
790,03/31/2016,2063.77,2067.92,2057.46,2059.74
791,04/01/2016,2056.62,2075.07,2043.98,2072.78
792,04/04/2016,2073.19,2074.02,2062.57,2066.13
793,04/05/2016,2062.50,2062.50,2042.56,2045.17
794,04/06/2016,2045.56,2067.33,2043.09,2066.66
795,04/07/2016,2063.01,2063.01,2033.80,2041.91
796,04/08/2016,2045.54,2060.63,2041.69,2047.60
797,04/11/2016,2050.23,2062.93,2041.88,2041.99
798,04/12/2016,2043.72,2065.05,2039.74,2061.72
799,04/13/2016,2065.92,2083.18,2065.92,2082.42
800,04/14/2016,2082.89,2087.84,2078.13,2082.78
801,04/15/2016,2083.10,2083.22,2076.31,2080.73
802,04/18/2016,2078.83,2094.66,2073.65,2094.34
803,04/19/2016,2096.05,2104.05,2091.68,2100.80
804,04/20/2016,2101.52,2111.05,2096.32,2102.40
805,04/21/2016,2102.09,2103.78,2088.52,2091.48
806,04/22/2016,2091.49,2094.32,2081.20,2091.58
807,04/25/2016,2089.37,2089.37,2077.52,2087.79
808,04/26/2016,2089.84,2096.87,2085.80,2091.70
809,04/27/2016,2092.33,2099.89,2082.31,2095.15
810,04/28/2016,2090.93,2099.30,2071.62,2075.81
811,04/29/2016,2071.82,2073.85,2052.28,2065.30
812,05/02/2016,2067.17,2083.42,2066.11,2081.43
813,05/03/2016,2077.18,2077.18,2054.89,2063.37
814,05/04/2016,2060.30,2060.30,2045.55,2051.12
815,05/05/2016,2052.95,2060.23,2045.77,2050.63
816,05/06/2016,2047.77,2057.72,2039.45,2057.14
817,05/09/2016,2057.55,2064.15,2054.31,2058.69
818,05/10/2016,2062.63,2084.87,2062.63,2084.39
819,05/11/2016,2083.29,2083.29,2064.46,2064.46
820,05/12/2016,2067.17,2073.99,2053.13,2064.11
821,05/13/2016,2062.50,2066.79,2043.13,2046.61
822,05/16/2016,2046.53,2071.88,2046.53,2066.66
823,05/17/2016,2065.04,2065.69,2040.82,2047.21
824,05/18/2016,2044.38,2060.61,2034.49,2047.63
825,05/19/2016,2044.21,2044.21,2025.91,2040.04
826,05/20/2016,2041.88,2058.35,2041.88,2052.32
827,05/23/2016,2052.23,2055.58,2047.26,2048.04
828,05/24/2016,2052.65,2079.67,2052.65,2076.06
829,05/25/2016,2078.93,2094.73,2078.93,2090.54
830,05/26/2016,2091.44,2094.30,2087.08,2090.10
831,05/27/2016,2090.06,2099.06,2090.06,2099.06
832,05/31/2016,2100.13,2103.48,2088.66,2096.96
833,06/01/2016,2093.94,2100.97,2085.10,2099.33
834,06/02/2016,2097.71,2105.26,2088.59,2105.26
835,06/03/2016,2104.07,2104.07,2085.36,2099.13
836,06/06/2016,2100.83,2113.36,2100.83,2109.41
837,06/07/2016,2110.18,2119.22,2110.18,2112.13
838,06/08/2016,2112.71,2120.55,2112.71,2119.12
839,06/09/2016,2115.65,2117.64,2107.73,2115.48
840,06/10/2016,2109.57,2109.57,2089.96,2096.07
841,06/13/2016,2091.75,2098.12,2078.46,2079.06
842,06/14/2016,2076.65,2081.30,2064.10,2075.32
843,06/15/2016,2077.60,2085.65,2069.80,2071.50
844,06/16/2016,2066.36,2079.62,2050.37,2077.99
845,06/17/2016,2078.20,2078.20,2062.84,2071.22
846,06/20/2016,2075.58,2100.66,2075.58,2083.25
847,06/21/2016,2085.19,2093.66,2083.02,2088.90
848,06/22/2016,2089.75,2099.71,2084.36,2085.45
849,06/23/2016,2092.80,2113.32,2092.80,2113.32
850,06/24/2016,2103.81,2103.81,2032.57,2037.41
851,06/27/2016,2031.45,2031.45,1991.68,2000.54
852,06/28/2016,2006.67,2036.09,2006.67,2036.09
853,06/29/2016,2042.69,2073.13,2042.69,2070.77
854,06/30/2016,2073.17,2098.94,2070.00,2098.86
855,07/01/2016,2099.34,2108.71,2097.90,2102.95
856,07/05/2016,2095.05,2095.05,2080.86,2088.55
