iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPGI","S&P GLOBAL INC","Financials","Equity","1,215,883,431.90","0.34","1,215,883,431.90","3,161,670.00","384.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,203,867,389.28","0.34","1,203,867,389.28","6,451,248.00","186.61","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","1,182,283,434.80","0.33","1,182,283,434.80","10,574,986.00","111.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","1,169,136,335.36","0.33","1,169,136,335.36","14,142,208.00","82.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","1,164,416,218.00","0.33","1,164,416,218.00","4,956,650.00","234.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,156,495,213.28","0.32","1,156,495,213.28","8,159,272.00","141.74","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,153,857,519.36","0.32","1,153,857,519.36","11,129,027.00","103.68","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,149,500,558.42","0.32","1,149,500,558.42","19,663,027.00","58.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,107,875,865.24","0.31","1,107,875,865.24","5,693,678.00","194.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,100,276,654.40","0.31","1,100,276,654.40","69,461,910.00","15.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,061,401,610.43","0.30","1,061,401,610.43","20,298,367.00","52.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,054,520,183.02","0.30","1,054,520,183.02","5,509,222.00","191.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
