iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"29-Apr-2015"
Total Net Assets,"$69,377,710,110"
Shares Outstanding,"330,600,000"
Stock,"99.66"
Bond,"0.00"
Cash,"0.26"
Other,"0.08"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","0.1950","Equity","Information Technology","$136,679,980","1,783,170","76.65","NASDAQ","136,679,980.50"
"PX","US74005P1049","2699291","PRAXAIR INC","0.1925","Equity","Materials","$134,930,416","1,082,127","124.69","New York Stock Exchange Inc.","134,930,415.63"
"SCHW","US8085131055","2779397","CHARLES SCHWAB CORP","0.1900","Equity","Financials","$133,196,652","4,323,163","30.81","New York Stock Exchange Inc.","133,196,652.03"
"WMB","US9694571004","2967181","WILLIAMS INC","0.1891","Equity","Energy","$132,542,661","2,522,220","52.55","New York Stock Exchange Inc.","132,542,661.00"
"ACE","CH0044328745","B3BQMF6","ACE LTD","0.1891","Equity","Financials","$132,520,459","1,226,587","108.04","New York Stock Exchange Inc.","132,520,459.48"
"ALXN","US0153511094","2036070","ALEXION PHARMACEUTICALS INC","0.1876","Equity","Health Care","$131,504,888","757,473","173.61","NASDAQ","131,504,887.53"
"AAL","US02376R1023","BCV7KT2","AMERICAN AIRLINES GROUP INC","0.1874","Equity","Industrials","$131,373,896","2,687,682","48.88","NASDAQ","131,373,896.16"
"REGN","US75886F1075","2730190","REGENERON PHARMACEUTICALS INC","0.1853","Equity","Health Care","$129,842,929","276,438","469.70","NASDAQ","129,842,928.60"
"NFLX","US64110L1061","2857817","NETFLIX INC","0.1821","Equity","Consumer Discretionary","$127,597,532","226,699","562.85","NASDAQ","127,597,532.15"
"KR","US5010441013","2497406","KROGER","0.1807","Equity","Consumer Staples","$126,646,242","1,841,056","68.79","New York Stock Exchange Inc.","126,646,242.24"
"JCI","US4783661071","2476803","JOHNSON CONTROLS INC","0.1799","Equity","Consumer Discretionary","$126,055,112","2,462,976","51.18","New York Stock Exchange Inc.","126,055,111.68"
"GIS","US3703341046","2367026","GENERAL MILLS INC","0.1794","Equity","Consumer Staples","$125,717,456","2,262,326","55.57","New York Stock Exchange Inc.","125,717,455.82"
"TRV","US89417E1091","2769503","TRAVELERS COMPANIES INC","0.1767","Equity","Financials","$123,852,998","1,204,210","102.85","New York Stock Exchange Inc.","123,852,998.50"
"ETN","IE00B8KQN827","B8KQN82","EATON CORPORATION PLC","0.1765","Equity","Industrials","$123,669,102","1,778,388","69.54","New York Stock Exchange Inc.","123,669,101.52"
